Results from heasarc_actszclust: Atacama Cosmology Telescope DR5 Sunyaev-Zeldovich Cluster Catalog
Coordinate system: Equatorial
|name               |ra         |dec        |snr     |y_c       |y_c_error |redshift|redshift_error|mass_500c|mass_500c_pos_err|mass_500c_neg_err|mass_200m|mass_200m_pos_err|mass_200m_neg_err|
|ACT-CL J0557.2-5720|05 57 16.96|-57 20 14.9| 4.94796|1.8350e-04|3.7087e-05|0.907400|      0.026704|  2.24397|          0.47339|          0.39092|  3.81528|          0.80488|          0.66466|
|ACT-CL J0403.8-5719|04 03 51.58|-57 19 36.1| 6.17092|1.0552e-04|1.7100e-05|0.467000|      0.000000|  2.86532|          0.59255|          0.49101|  5.07019|          1.04851|          0.86884|
|ACT-CL J2304.4-5718|23 04 27.61|-57 18 41.8| 4.42185|1.3817e-04|3.1246e-05|0.958400|      0.027418|  2.15167|          0.47735|          0.39068|  3.65487|          0.81083|          0.66361|
|ACT-CL J2210.5-5709|22 10 32.02|-57 09 14.7| 4.33813|1.8078e-04|4.1672e-05|0.300577|      0.006258|  2.14428|          0.56748|          0.44872|  3.91448|          1.03595|          0.81916|
|ACT-CL J0551.6-5709|05 51 37.31|-57 09 11.5| 7.95622|9.4656e-05|1.1897e-05|0.423000|      0.000000|  3.47457|          0.67546|          0.56552|  6.22722|          1.21057|          1.01354|
|ACT-CL J2219.8-5708|22 19 48.68|-57 08 07.7| 7.94265|9.3463e-05|1.1767e-05|0.302495|      0.006326|  3.66375|          0.76071|          0.62992|  6.77179|          1.40603|          1.16429|
|ACT-CL J0329.1-5707|03 29 07.98|-57 07 15.1| 4.49523|1.2753e-04|2.8369e-05|0.585487|      0.009301|  2.17102|          0.50549|          0.41002|  3.75422|          0.87412|          0.70903|
|ACT-CL J2320.6-5703|23 20 37.00|-57 03 30.0| 4.19836|1.0197e-04|2.4287e-05|0.833475|      0.015704|  2.11641|          0.48918|          0.39734|  3.59837|          0.83172|          0.67557|
|ACT-CL J0026.8-5700|00 26 53.99|-57 00 45.1| 4.57435|1.7635e-04|3.8553e-05|0.787597|      0.018420|  1.99885|          0.47901|          0.38641|  3.39952|          0.81468|          0.65719|
|ACT-CL J0301.8-5657|03 01 51.00|-56 57 30.0| 4.18813|1.4898e-04|3.5572e-05|0.912591|      0.017596|  1.80893|          0.43350|          0.34970|  3.06176|          0.73374|          0.59189|
|ACT-CL J0052.5-5657|00 52 33.25|-56 57 27.4| 5.16289|1.9569e-04|3.7903e-05|0.312697|      0.007110|  2.29712|          0.55835|          0.44917|  4.18594|          1.01745|          0.81850|
|ACT-CL J0521.5-5656|05 21 34.01|-56 56 45.0| 4.53501|4.9620e-05|1.0941e-05|0.311975|      0.007079|  2.07600|          0.52780|          0.42081|  3.77481|          0.95971|          0.76517|
|ACT-CL J0151.1-5654|01 51 08.03|-56 54 49.8| 4.96432|4.3171e-05|8.6963e-06|0.287700|      0.023120|  2.07886|          0.52494|          0.41911|  3.80657|          0.96122|          0.76743|
|ACT-CL J2012.4-5649|20 12 26.57|-56 49 52.0| 7.22622|7.4293e-05|1.0281e-05|0.055200|      0.000000|  4.02341|          1.38634|          1.03107|  8.26972|          2.84948|          2.11926|
|ACT-CL J0352.9-5647|03 52 57.75|-56 47 52.6| 8.36552|1.4507e-04|1.7342e-05|0.649000|      0.000000|  3.49376|          0.62779|          0.53216|  6.06612|          1.09001|          0.92398|
|ACT-CL J2145.8-5645|21 45 52.83|-56 45 03.4|12.42369|1.6602e-04|1.3363e-05|0.480000|      0.000000|  5.56848|          0.99155|          0.84168|  9.98660|          1.77826|          1.50948|
|ACT-CL J0313.0-5645|03 13 01.12|-56 45 03.2| 4.50467|6.0730e-05|1.3482e-05|0.694022|      0.014697|  2.17701|          0.48847|          0.39895|  3.72792|          0.83646|          0.68317|
|ACT-CL J0210.3-5644|02 10 18.03|-56 44 30.0| 4.51290|1.6554e-04|3.6682e-05|0.809188|      0.010868|  2.03496|          0.47381|          0.38433|  3.45952|          0.80550|          0.65337|
|ACT-CL J0551.7-5644|05 51 44.84|-56 44 27.6| 4.77895|6.7110e-05|1.4043e-05|0.206807|      0.003907|  2.11350|          0.56486|          0.44573|  3.97743|          1.06301|          0.83883|
|ACT-CL J2036.6-5644|20 36 36.92|-56 44 24.9| 5.55590|6.4760e-05|1.1656e-05|0.417815|      0.011878|  2.99647|          0.66981|          0.54744|  5.35743|          1.19756|          0.97877|
|ACT-CL J0556.1-5642|05 56 07.00|-56 42 45.3| 4.32920|1.6386e-04|3.7849e-05|0.673209|      0.015788|  2.15316|          0.50499|          0.40905|  3.69187|          0.86587|          0.70137|
|ACT-CL J2019.1-5642|20 19 07.36|-56 42 23.3| 5.68343|9.8329e-05|1.7301e-05|0.230000|      0.015990|  2.85154|          0.69311|          0.55758|  5.36121|          1.30312|          1.04831|
|ACT-CL J0359.5-5641|03 59 31.00|-56 41 59.6| 4.54504|1.6682e-04|3.6703e-05|0.377000|      0.019278|  2.15761|          0.53554|          0.42905|  3.86268|          0.95876|          0.76811|
|ACT-CL J0429.3-5638|04 29 23.50|-56 38 22.6| 4.14138|3.8626e-05|9.3267e-06|0.679240|      0.021477|  1.99472|          0.48655|          0.39115|  3.41315|          0.83254|          0.66928|
|ACT-CL J2030.8-5638|20 30 52.31|-56 38 01.2| 5.25108|1.4136e-04|2.6920e-05|0.393700|      0.000000|  2.77981|          0.63311|          0.51567|  4.98689|          1.13578|          0.92509|
|ACT-CL J0118.1-5637|01 18 07.00|-56 38 00.0| 4.63322|6.2654e-05|1.3523e-05|0.207227|      0.004117|  1.98924|          0.53860|          0.42384|  3.73744|          1.01194|          0.79633|
|ACT-CL J0351.7-5637|03 51 45.95|-56 37 29.6| 5.35321|6.3120e-05|1.1791e-05|0.393587|      0.010657|  2.49155|          0.56115|          0.45800|  4.45858|          1.00416|          0.81957|
|ACT-CL J2354.8-5633|23 54 53.42|-56 33 08.7| 5.59077|8.6086e-05|1.5398e-05|0.559214|      0.006697|  2.79517|          0.58501|          0.48376|  4.87554|          1.02043|          0.84382|
|ACT-CL J0523.5-5632|05 23 31.43|-56 32 47.2| 4.15566|3.5930e-05|8.6461e-06|0.827837|      0.011336|  1.75374|          0.45346|          0.36030|  2.97064|          0.76811|          0.61030|
|ACT-CL J0323.1-5631|03 23 09.62|-56 31 48.1| 4.45451|1.5992e-04|3.5900e-05|0.632613|      0.011137|  2.11933|          0.49345|          0.40026|  3.64522|          0.84874|          0.68844|
|ACT-CL J0432.9-5630|04 32 56.02|-56 30 15.2| 4.61017|1.7085e-04|3.7060e-05|0.692000|      0.000000|  2.24243|          0.50693|          0.41346|  3.84290|          0.86874|          0.70856|
|ACT-CL J0345.8-5628|03 45 49.01|-56 29 00.0| 4.09734|1.5683e-04|3.8276e-05|0.467125|      0.008915|  1.97287|          0.52040|          0.41178|  3.46203|          0.91320|          0.72260|
|ACT-CL J0613.7-5627|06 13 46.71|-56 27 41.0| 7.13228|2.7422e-04|3.8447e-05|0.809338|      0.010104|  3.12716|          0.57463|          0.48543|  5.36523|          0.98590|          0.83285|
|ACT-CL J2032.3-5627|20 32 18.16|-56 27 27.6| 6.97881|7.4069e-05|1.0613e-05|0.284000|      0.000000|  2.96568|          0.69303|          0.56176|  5.48307|          1.28131|          1.03860|
