source_number;name;ra;dec;snr;ir_contam_flag;nn_quality_flag;y5r500;y5r500_error;validation_status;redshift;redshift_source_name;mass_sz;mass_sz_pos_err;cosmology_sample_flag
 577;PSZ2 G118.03+31.10;238,7604;84,1637; 6.58282;0;0,000448;0,00296131;0,000698527; 10; 0.194000;; 4.331743;0,335178;0
 578;PSZ2 G118.34+68.79;195,3484;48,2419; 4.98433;0;0,98786;0,00127986;0,000595983; 24; 0.254879;RMJ130122.0+481545.0; 3.774225;0,454571;0
 579;PSZ2 G118.39+42.22;205,4879;74,4514; 7.45455;0;0,845703;0,000837509;0,000189769; 11; 0.478000;; 5.507178;0,435272;1
 580;PSZ2 G118.46+39.32;208,6943;77,2477; 8.14613;0;0,96882;0,00152181;0,000352266; 21; 0.396700;RXC J1354.6+7715; 6.004693;0,377127;1
 581;PSZ2 G118.49+48.17;201,0202;68,669; 5.16194;0;0,978471;0,00104311;0,000407241; 16;;;;;0
 582;PSZ2 G118.56-13.14;6,3098;49,5023; 4.62775;0;0,99371;0,00226147;0,0010414; 16;;;;;0
 583;PSZ2 G118.58+28.57;261,2308;85,8912;10,06761;0;0,998764;0,00283654;0,000641551; 21; 0.178000;RXC J1723.7+8553; 5.982977;0,367133;0
 584;PSZ2 G118.79+47.50;200,8033;69,3635; 5.18626;0;0,973793;0,000880464;0,000328955; -1;;;;;0
 585;PSZ2 G118.92+52.38;198,5514;64,5643; 8.47002;0;0,92904;0,00182335;0,000457159; 20; 0.220000;RXC J1314.4+6434; 4.387726;0,295729;1
 586;PSZ2 G119.30-64.68;11,31;-1,8576; 5.07692;0;0,956485;0,00145369;0,000696659; 24; 0.556769;RMJ004512.5-015231.7; 6.371614;0,69943;0
 587;PSZ2 G119.38+46.85;199,9846;70,0739; 6.09822;0;0,993387;0,00258969;0,000910997; 21; 0.327500;RXC J1320.0+7003; 4.107369;0,392874;1
 588;PSZ2 G119.92+59.12;195,7642;57,9334; 6.82543;0;0,968091;0,000780316;0,000126452; 20; 0.196100;RXC J1303.0+5756; 3.437462;0,326515;1
 589;PSZ2 G120.08-44.41;10,7148;18,4071; 4.76384;0;0,125596;0,00239852;0,00114024; 20; 0.266800;WHL J10.6526+18.42; 4.646910;0,626863;0
 590;PSZ2 G120.30+44.47;199,1191;72,5242; 5.31403;0;0,99188;0,000549939;0,000145638; 16;;;;;0
 591;PSZ2 G120.36+26.03;307,7576;87,4583; 5.29589;0;0,001487;0,00275986;0,00145203; -1;;;;;0
 592;PSZ2 G120.75+25.39;323,9867;87,3829; 4.68607;0;0,003441;0,00119307;0,000418358; -1;;;;;0
 593;PSZ2 G120.76+44.14;198,1617;72,8899; 5.58572;0;0,989588;0,0011493;0,000420781; -1;;;;;0
 594;PSZ2 G121.03+57.02;194,9266;60,0741; 8.07951;0;0,948798;0,00163001;0,000410063; 20; 0.344000;; 5.691854;0,43627;1
 595;PSZ2 G121.13+49.64;195,8869;67,4415; 5.44623;0;0,752773;0,00219952;0,000820392; 25; 0.221000;ZwCl 1301.9+6745; 3.172016;0,34054;0
 596;PSZ2 G121.77+51.75;194,5723;65,36; 6.27024;0;0,981398;0,00117921;0,00043711; 24; 0.233215;RMJ125827.8+652131.1; 3.982594;0,388243;1
 597;PSZ2 G121.87-45.97;12,0892;16,8876; 4.85661;0;0,005495;0,00245992;0,00114301; -1;;;;;0
 598;PSZ2 G122.30+54.52;193,6463;62,5963; 6.07388;0;0,91983;0,0012011;0,000348471; 24; 0.318225;RMJ125443.6+623347.1; 4.528066;0,426512;1
